non terminal,first,follow
Function,"int,float",
ArgList,"int,float",
ArgList1,",,null",
Arg,"int,float",
Declaration,"int,float",
Type,"int,float",
IdentList,identifier,
IdentList1,",,null",
Stmt,"for,loop,<,identifier,number,agar,{,int,float",
ForStmt,for,
OptExpr,"<,identifier,number,null",
LoopStmt,loop,
IfStmt,agar,
MagarPart,"magar, null",
CompoundStmt,{,
StmtList,"for,loop,<,identifier,number,agar,{,int,float,null",
Expr,"<,identifier,number",
Rvalue,"<,identifier,number",
Rvalue1,"""=,<,>,!"", null",
Compare,"""=,<,>,!""",
Mag,"<,identifier,number",
Mag1,"""+"",""-"",null",
Term,"<,identifier,number",
Term1,"*,/,null",
Factor,"<,identifier,number",
